,del_pys,del_tau,pys_tau
6401070,1.0,1.0,1.0
6401080,1.0,1.0,1.0
6401090,1.0,1.0,1.0
6401111,1.0,1.0,1.0
6401120,1.0,1.0,1.0
6401140,1.0,1.0,1.0
6401150,1.0,1.0,1.0
6401160,1.0,1.0,1.0
6401200,1.0,1.0,1.0
6401250,1.0,1.0,1.0
6401300,1.0,1.0,1.0
6401310,1.0,1.0,1.0
6401400,1.0,1.0,1.0
6401460,1.0,1.0,1.0
6401500,1.0,1.0,1.0
6401601,1.0,1.0,1.0
6401610,1.0,1.0,1.0
6401702,1.0,1.0,1.0
6401703,1.0,1.0,1.0
6401800,1.0,1.0,1.0
