,del_pys,del_tau,pys_tau
6401070,0.9999927833403376,0.9999927833403344,0.9999999999999243
6401080,0.9999961888354101,0.9999961888354104,0.9999999999999796
6401090,0.9999981125571781,0.9999981125571791,0.9999999999999796
6401111,0.9999953034413002,0.9999953034379776,0.9999999999999364
6401120,0.9999978748971895,0.9999978748971876,0.9999999999999855
6401140,0.9999936828513886,0.9999936828513903,0.9999999999998939
6401150,0.9999926654470211,0.9999926654470215,0.9999999999999767
6401160,0.9999868408105201,0.9999868408104917,0.9999999999998443
6401200,0.9999957307674201,0.9999957307705442,0.9999999999999796
6401250,0.9999949461016338,0.9999949461016368,0.9999999999999272
6401300,0.9999904584398794,0.9999904584398788,0.9999999999999478
6401310,0.9999872857517812,0.9999872857517711,0.9999999999998579
6401400,0.9999951340797877,0.9999951340797907,0.9999999999999634
6401460,0.9999900578668058,0.9999900578668074,0.99999999999997
6401500,0.9999940420916354,0.9999940420916396,0.9999999999999414
6401601,0.9999938736873731,0.9999938736914857,0.9999999999999596
6401610,0.9999966703172007,0.9999966703172014,0.99999999999998
6401702,0.9999979936208891,0.999997993620888,0.999999999999991
6401703,0.9999968133321677,0.9999968133353891,0.9999999999999611
6401800,0.9999970592865193,0.9999970592865178,0.9999999999999752
