site_no,SiteName,da_sqmi,da_km2,lon,lat
07326500,"Washita River at Anadarko, OK",3656,9469,-98.243385,35.0842283
07328500,"Washita River Near Pauls Valley, OK",5330,13805,-97.2514125,34.7548025
07331000,"Washita River Near Dickson, OK",7202,18653,-96.9758447,34.2334272
07331600,"Red Rv at Denison Dam nr Denison, TX",39720,102874,-96.5633264,33.8189911
07375300,"Tangipahoa River Near Kentwood, LA",237,614,-90.49037285,30.93768029
08026000,"Sabine Rv nr Burkeville, TX",7482,19378,-93.51961647,31.06408004
08044000,"Big Sandy Ck nr Bridgeport, TX",333,862,-97.6947538,33.23178218
08111700,"Mill Ck nr Bellville, TX",376,974,-96.20524019,29.88106145
08176900,"Coleto Ck at Arnold Rd Crsg nr Schroeder, TX",357,925,-97.2263791,28.86165308
08279000,"Embudo Creek at Dixon, NM",305,790,-105.9136306,36.21085638
08287000,"Rio Chama Below Abiquiu Dam, NM",2147,5561,-106.4169764,36.23668472
08390800,"Rio Hondo Blw Diamond A Dam nr Roswell, NM",963,2494,-104.7205285,33.30148906
08407500,"Pecos River at Red Bluff, NM",19540,50608,-104.0396528,32.07512393
08449000,"Devils Rv nr Juno, TX",2730,7071,-101.1453849,29.96353604
09050700,"Blue River Below Dillon, CO.",335,868,-106.0664082,39.62554202
09115500,"Tomichi Creek at Sargents, CO",149,386,-106.422806,38.41166283
09217900,"Blacks Fork Near Robertson, WY",130,337,-110.5801656,40.95911312
09306242,"Corral Gulch Near Rangely, CO",32,82,-108.4728719,39.92025021
09379500,"San Juan River Near Bluff, UT",23000,59570,-109.864844,37.14694612
09512500,"Agua Fria River Near Mayer, AZ",585,1515,-112.0640455,34.31530732
09519800,"Gila River Below Painted Rock Dam, AZ",50910,131856,-113.0146217,33.07504581
10353800,"SMOKE CREEK BELOW RESERVOIR NEAR SMOKE CREEK, NEV.",50,130,-119.8743705,40.5090688
12112600,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",67,173,-122.165396,47.31232289
11208730,EF KAWEAH R NR THREE RIVERS CA,86,222,-118.789264,36.45161241
14162200,"BLUE RIVER AT BLUE RIVER, OR",88,227,-122.3331192,44.16234819
11414210,S YUBA R BL SPAULDING NO2 PP NR EMIGRANT GP CA,118,306,-120.6460451,39.32434528
11314500,NF MOKELUMNE R BL SALT SPRINGS DAM CA,170,440,-120.2210266,38.49352323
11118500,VENTURA R NR VENTURA,188,487,-119.3084466,34.35222038
11439500,SF AMERICAN R NR KYBURZ(RIVER ONLY) CA,193,500,-120.3285277,38.76351814
10297500,"W WALKER R AT HOYE BRIDGE NR WELLINGTON, NV",498,1290,-119.4278611,38.72806389
13049500,FALLS RIVER NR CHESTER ID,521,1350,-111.5666667,44.01833333
11451000,CACHE C NR LOWER LAKE CA,529,1370,-122.5658147,38.9240648
12149000,"SNOQUALMIE RIVER NEAR CARNATION, WA",602,1560,-121.9253969,47.66593399
13186000,SF BOISE RIVER NR FEATHERVILLE ID,633,1640,-115.3080556,43.49583333
13055000,TETON RIVER NR ST ANTHONY ID,892,2310,-111.6160711,43.92713492
12452500,"CHELAN RIVER AT CHELAN, WA",923,2390,-120.0131254,47.83458081
11303000,STANISLAUS R A RIPON CA,1073,2780,-121.1104934,37.72965078
13152500,MALAD RIVER NR GOODING ID,2988,7740,-114.8030556,42.88638889
12199000,"SKAGIT RIVER NEAR SEDRO WOOLLEY, WA",3015,7810,-122.2432123,48.48399625
10068500,"BEAR RIVER AT PESCADERO, ID",3707,9600,-111.356875,42.40159293
13087995,SNAKE RIVER GAGING STATION AT MILNER ID,17182,44500,-114.0183333,42.52805556
