cac_delineator,cac_esri
0.976167929,0.995795531
0.98232131,2.87E-06
0.954012442,0.990229041
0.987199679,0.997462992
0.879440821,0.93668029
0.979900584,0.996677563
0.882470486,0.995884584
0.982087967,0.994372136
0.943024815,0.970701788
0.970261306,0.984899193
0.007100265,0.945266718
0.978462849,0.995789297
0.974746109,0.97910939
0.996008134,0.99794278
0.99104082,0.993751237
0.952252866,0.996952076
0.991247821,0.998609068
0.981678495,0.996270314
0.843204056,0.996212888
0.779084174,0.963040405
0.980338408,0.998025506
0.932853209,0.992337059
0.98403891,0.992124733
0.996995309,0.000347252
0.995804728,8.84E-07
0.585763367,0.979060816
0.9953507,0.996733692
0.993624689,0.997633787
0.982254386,0.988742362
0.983454275,0.986126053
0.993136506,0.995887447
0.891119038,0.994826012
0.993443534,0.024318969
0.987107524,0.993670896
0.970089484,0.374612983
0.978780531,0.994271494
0.961679283,0.997230612
0.904917774,0.993236549
0.926794541,0.98101746
0.898906834,0.975946825
0.938637981,3.78E-06
0.809378143,0.736470646
0.899635049,0.995847275
0.904626444,0.953217246
0.991838397,0.993672914
0.966265214,0.993798309
0.897777956,0.995144416
0.963814987,0.99425652
0.975471411,0.98831473
0.825509631,0.968193138
0.730707933,0.78107613
0.977028345,0.986416689
0.981359974,2.34E-06
0.568185218,0.984658504
0.964103527,0.977175871
0.993999493,2.50E-05
0.996422649,0.998585893
0.853995525,0.945531999
0.708081785,0.86842864
0.982302419,0.990024496
0.990663264,0.993485122
0.966162758,0.972295771
0.986325623,0.990698673
0.911050218,4.57E-06
0.879933669,0.98058047
0.99297606,0.996662397
0.99192434,0.996597726
0.974416972,1.46E-08
0.972192954,0.996520998
0.988329138,0.993448213
0.969962236,0.000116915
0.884481716,0.936259595
0.987189919,0.99532531
0.956497693,0.994491391
0.964157389,9.50E-06
0.944664864,0.990813603
0.935346091,0.990283522
0.090487714,0.868929823
0.980708671,0.993179507
0.990293083,0.995070705
0.992969641,0.997094728
0.993820773,0.998102735
0.970093407,0.998934978
0.968462565,0.989997608
0.988236316,0.995176627
0.978662969,0.986887977
0.975370216,0.98083199
0.979504906,1.27E-05
0.988049558,0.993453431
0.9624154,0.997585772
0.984912656,0.993946536
0.854293864,0.933343044
0.985259951,0.998184883
0.934597091,0.954846682
0.985207227,0.000101749
0.964474452,0.968929295
0.915348993,0.919824575
0.989100066,0.992443875
0.9898639,0.978583667
0.958074314,5.29E-08
0.982342673,0.990187202
0.990643267,0.993059894
0.655848169,0.830764201
0.836236101,0.864243964
0.954558265,0.97075598
0.959381356,0.992138114
0.994076162,0.99651941
0.99363836,0.997441181
0.975236842,0.993444189
0.72172272,0.897390584
0.95566546,0.993046588
0.969016375,0.991223732
0.934535116,0.960924784
0.976385529,0.985222948
0.968987368,0.039324684
0.986902457,0.991552621
0.984532362,0.988265722
0.009907523,0.010314191
0.906416611,0.909682743
0.967905483,0.972499987
