id,lng,lat,name,area
8026000,-93.51961647,31.06408004,"Sabine Rv nr Burkeville, TX",19378
8044000,-97.6947538,33.23178218,"Big Sandy Ck nr Bridgeport, TX",862
8111700,-96.20524019,29.88106145,"Mill Ck nr Bellville, TX",974
8176900,-97.2263791,28.86165308,"Coleto Ck at Arnold Rd Crsg nr Schroeder, TX",925
8279000,-105.9136306,36.21085638,"Embudo Creek at Dixon, NM",790
8287000,-106.4169764,36.23668472,"Rio Chama Below Abiquiu Dam, NM",5561
8390800,-104.7205285,33.30148906,"Rio Hondo Blw Diamond A Dam nr Roswell, NM",2494
8407500,-104.0396528,32.07512393,"Pecos River at Red Bluff, NM",50608
8449000,-101.1453849,29.96353604,"Devils Rv nr Juno, TX",7071
9050700,-106.0664082,39.62554202,"Blue River Below Dillon, CO.",868
9115500,-106.422806,38.41166283,"Tomichi Creek at Sargents, CO",386
9217900,-110.5801656,40.95911312,"Blacks Fork Near Robertson, WY",337
9306242,-108.4728719,39.92025021,"Corral Gulch Near Rangely, CO",82
9379500,-109.864844,37.14694612,"San Juan River Near Bluff, UT",59570
9512500,-112.0640455,34.31530732,"Agua Fria River Near Mayer, AZ",1515
9519800,-113.0146217,33.07504581,"Gila River Below Painted Rock Dam, AZ",131856
10353800,-119.8743705,40.5090688,"SMOKE CREEK BELOW RESERVOIR NEAR SMOKE CREEK, NEV.",130
12112600,-122.165396,47.31232289,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",173
11208730,-118.789264,36.45161241,EF KAWEAH R NR THREE RIVERS CA,222
14162200,-122.3331192,44.16234819,"BLUE RIVER AT BLUE RIVER, OR",227
11414210,-120.6460451,39.32434528,S YUBA R BL SPAULDING NO2 PP NR EMIGRANT GP CA,306
11314500,-120.2210266,38.49352323,NF MOKELUMNE R BL SALT SPRINGS DAM CA,440
11118500,-119.3084466,34.35222038,VENTURA R NR VENTURA,487
11439500,-120.3285277,38.76351814,SF AMERICAN R NR KYBURZ(RIVER ONLY) CA,500
10297500,-119.4278611,38.72806389,"W WALKER R AT HOYE BRIDGE NR WELLINGTON, NV",1290
13049500,-111.5666667,44.01833333,FALLS RIVER NR CHESTER ID,1350
11451000,-122.5658147,38.9240648,CACHE C NR LOWER LAKE CA,1370
12149000,-121.9253969,47.66593399,"SNOQUALMIE RIVER NEAR CARNATION, WA",1560
13186000,-115.3080556,43.49583333,SF BOISE RIVER NR FEATHERVILLE ID,1640
13055000,-111.6160711,43.92713492,TETON RIVER NR ST ANTHONY ID,2310
12452500,-120.0131254,47.83458081,"CHELAN RIVER AT CHELAN, WA",2390
11303000,-121.1104934,37.72965078,STANISLAUS R A RIPON CA,2780
13152500,-114.8030556,42.88638889,MALAD RIVER NR GOODING ID,7740
12199000,-122.2432123,48.48399625,"SKAGIT RIVER NEAR SEDRO WOOLLEY, WA",7810
10068500,-111.356875,42.40159293,"BEAR RIVER AT PESCADERO, ID",9600
13087995,-114.0183333,42.52805556,SNAKE RIVER GAGING STATION AT MILNER ID,44500
