id,lat,lng,name,Dist_moved
6401070,64.709166666666661,-21.600833333333330,Nordhura River at Stekkur,4
6401080,64.693333333333328,-21.410833333333333,Hvita River at Kljafoss,1
6401090,63.939166666666665,-21.006666666666668,Olfusa River at Selfoss,1
6401111,64.159999999999997,-20.559166666666670,Bruara River at Dynjandi,0
6401120,63.934166666666670,-20.628333333333330,Thjorsa River at Krokur,5
6401140,63.797499999999999,-20.112500000000001,Eystri-Ranga River at Tungufoss,0
6401150,63.863333333333330,-20.340000000000000,Ytri-Ranga River at Arbaejarfoss,1
6401160,64.752499999999998,-14.485833333333332,Fossa River at Eyjolfsstadir,0
6401200,65.329999999999998,-19.085000000000001,Vestri-Jokulsa River at Godhdala Bru,0
6401250,65.301666666666662,-20.106666666666666,Vatnsdalsa River at Forsaeludalur,0
6401300,66.071666666666673,-21.751666666666665,Hvala River at Op,2
6401310,65.589166666666671,-23.127500000000001,Vatnsdalsa River at Eidhi,0
6401400,65.851666666666659,-17.897500000000001,Fnjoska River at Arbugsa,1
6401460,66.198333333333338,-15.595833333333333,Sanda River at Flogubru I,1
6401500,63.950833333333335,-17.637499999999999,Djupa River at Djupa Bru,2
6401601,65.495000000000005,-19.383333333333333,Svarta River at Reykjafoss,1
6401610,65.370000000000005,-17.347500000000000,Skjalfandafljot River at Aldeyjarfoss,1
6401702,65.623333333333335,-16.189166666666665,Jokulsa River at Grimsstadir,0
6401703,65.060833333333335,-16.211666666666666,Jokulsa River at  Upptyppingar,0
6401800,65.502499999999998,-14.361666666666666,Lagarfljot River at Lagarfoss,0
