11,n00e030
11,n00e035
11,n00e040
11,n00e045
11,n05e030
11,n05e035
11,n05e040
11,n05e045
11,n05e050
11,n10e035
11,n10e040
11,n10e045
11,n10e050
11,n15e035
11,n15e040
11,n20e030
11,n20e035
11,n25e030
11,n30e030
11,s05e030
11,s05e035
11,s05e040
11,s10e030
11,s10e035
11,s15e030
11,s15e035
11,s15e040
11,s20e035
11,s20e040
12,s10e030
12,s10e035
12,s15e015
12,s15e020
12,s15e025
12,s15e030
12,s15e035
12,s20e010
12,s20e015
12,s20e020
12,s20e025
12,s20e030
12,s20e035
12,s25e010
12,s25e015
12,s25e020
12,s25e025
12,s25e030
12,s25e035
12,s30e010
12,s30e015
12,s30e020
12,s30e025
12,s30e030
12,s35e015
12,s35e020
12,s35e025
12,s35e030
13,n00e005
13,n00e010
13,n00e015
13,n00e020
13,n00e025
13,n00e030
13,n05e005
13,n05e010
13,n05e015
13,n05e020
13,n05e025
13,s05e005
13,s05e010
13,s05e015
13,s05e020
13,s05e025
13,s05e030
13,s10e010
13,s10e015
13,s10e020
13,s10e025
13,s10e030
13,s15e010
13,s15e015
13,s15e020
13,s15e025
13,s15e030
13,s20e010
13,s20e015
14,n00e005
14,n00w005
14,n00w010
14,n05e000
14,n05e005
14,n05e010
14,n05e015
14,n05w005
14,n05w010
14,n05w015
14,n10e000
14,n10e005
14,n10e010
14,n10e015
14,n10w005
14,n10w010
14,n10w015
14,n10w020
14,n15e000
14,n15e005
14,n15w005
14,n15w010
14,n15w015
14,n15w020
14,n20e000
14,n20e005
15,n10e020
15,n10e025
15,n10w010
15,n15e000
15,n15e020
15,n15e025
15,n15w005
15,n15w010
15,n15w015
15,n15w020
15,n20e000
15,n20e005
15,n20e010
15,n20e015
15,n20e020
15,n20e025
15,n20e030
15,n20w005
15,n20w010
15,n20w015
15,n20w020
15,n25e000
15,n25e005
15,n25e010
15,n25e015
15,n25e020
15,n25e025
15,n25e030
15,n25w005
15,n25w010
15,n25w015
15,n25w020
15,n30e000
15,n30e005
15,n30e010
15,n30e015
15,n30e020
15,n30e025
15,n30e030
15,n30w005
15,n30w010
15,n30w020
15,n35e000
15,n35e005
15,n35e010
15,n35w005
15,n35w010
16,n05e005
16,n05e010
16,n05e015
16,n05e020
16,n10e005
16,n10e010
16,n10e015
16,n10e020
16,n15e005
16,n15e010
16,n15e015
16,n15e020
16,n20e005
16,n20e010
16,n20e015
16,n20e020
16,n25e005
17,n00e025
17,n00e030
17,n00e035
17,n05e020
17,n05e025
17,n05e030
17,n05e035
17,n10e020
17,n10e025
17,n10e030
17,n10e035
17,n15e025
17,n15e030
17,n15e035
17,n20e025
17,n20e030
17,n20e035
17,n25e025
17,n25e030
17,n30e025
17,n30e030
17,s05e025
17,s05e030
17,s05e035
18,s10e045
18,s15e040
18,s15e045
18,s15e050
18,s20e040
18,s20e045
18,s20e050
18,s25e040
18,s25e045
18,s30e040
18,s30e045
21,n25e030
21,n30e020
21,n30e025
21,n30e030
21,n30e035
21,n35e000
21,n35e005
21,n35e010
21,n35e015
21,n35e020
21,n35e025
21,n35e030
21,n35e035
21,n35w005
21,n35w010
21,n40e000
21,n40e005
21,n40e010
21,n40e015
21,n40e020
21,n40e025
21,n40e030
21,n40w005
21,n45e000
21,n45e005
21,n45e010
21,n45e015
22,n35e025
22,n35e030
22,n35e035
22,n35e040
22,n40e015
22,n40e020
22,n40e025
22,n40e030
22,n40e035
22,n40e040
22,n45e005
22,n45e010
22,n45e015
22,n45e020
22,n45e025
22,n45e030
22,n45e035
22,n45e040
22,n45e045
22,n50e010
22,n50e015
22,n50e020
22,n50e025
22,n50e030
22,n50e035
22,n50e040
22,n50e045
22,n55e025
22,n55e030
23,n35w005
23,n35w010
23,n40e000
23,n40w005
23,n40w010
23,n45e000
23,n45e005
23,n45e010
23,n45e015
23,n45w005
23,n45w010
23,n50e000
23,n50e005
23,n50e010
23,n50e015
23,n50w005
23,n50w010
23,n50w015
23,n55w005
23,n55w010
23,n60w005
23,n60w010
24,n45e015
24,n45e020
24,n45e025
24,n50e005
24,n50e010
24,n50e015
24,n50e020
24,n50e025
24,n50e030
24,n55e005
24,n55e010
24,n55e015
24,n55e020
24,n55e025
24,n55e030
24,n55e035
24,n60e010
24,n60e015
24,n60e020
24,n60e025
24,n60e030
24,n60e035
24,n65e010
24,n65e015
24,n65e020
24,n65e025
24,n65e030
25,n55e000
25,n55e005
25,n55e010
25,n60e000
25,n60e005
25,n60e010
25,n60e025
25,n60e030
25,n60e035
25,n65e010
25,n65e015
25,n65e020
25,n65e025
25,n65e030
25,n65e035
25,n65e040
25,n70e015
25,n70e020
25,n70e025
25,n70e030
25,n75e010
25,n75e015
25,n75e020
25,n75e025
25,n80e015
25,n80e020
25,n80e025
25,n80e030
25,n80e035
26,n55e035
26,n55e040
26,n55e045
26,n55e050
26,n60e035
26,n60e040
26,n60e045
26,n60e050
26,n60e055
26,n60e060
26,n65e035
26,n65e040
26,n65e045
26,n65e050
26,n65e055
26,n65e060
26,n65e065
26,n70e050
26,n70e055
26,n70e060
26,n75e050
26,n75e055
26,n75e060
26,n75e065
26,n80e040
26,n80e045
26,n80e050
26,n80e055
26,n80e060
26,n80e065
27,n60w015
27,n60w020
27,n60w025
27,n65w015
27,n65w020
27,n65w025
27,n70w010
28,n30e045
28,n30e060
28,n30e065
28,n35e040
28,n35e045
28,n35e050
28,n35e055
28,n35e060
28,n35e065
28,n40e040
28,n40e045
28,n40e050
28,n40e055
28,n40e060
28,n45e040
28,n45e045
28,n45e050
28,n45e055
28,n50e030
28,n50e035
28,n50e040
28,n50e045
28,n50e050
28,n50e055
28,n50e060
28,n55e030
28,n55e035
28,n55e040
28,n55e045
28,n55e050
28,n55e055
28,n55e060
28,n60e030
28,n60e035
28,n60e040
28,n60e045
28,n60e050
28,n60e055
29,n10e040
29,n10e045
29,n10e050
29,n15e040
29,n15e045
29,n15e050
29,n15e055
29,n20e035
29,n20e040
29,n20e045
29,n20e050
29,n20e055
29,n25e030
29,n25e035
29,n25e040
29,n25e045
29,n25e050
29,n25e055
29,n25e060
29,n25e065
29,n30e030
29,n30e035
29,n30e040
29,n30e045
29,n30e050
29,n30e055
29,n30e060
29,n30e065
29,n35e035
29,n35e040
29,n35e045
29,n35e050
29,n35e055
29,n35e060
29,n40e035
29,n40e040
31,n45e065
31,n45e070
31,n45e075
31,n45e080
31,n45e085
31,n45e090
31,n50e055
31,n50e060
31,n50e065
31,n50e070
